2000 17918825 4943691 14041266 4943691
2064 19070128 5265063 14940289 5265063
2128 20280329 5596434 15890238 5596434
2192 21486654 5938219 16828359 5938219
2256 22736766 6290122 17802261 6290122
2320 24113556 6651548 18894974 6651548
2384 25427352 7023662 19916686 7023662
2448 26812298 7405628 21003962 7405628
2512 28256802 7797966 22140321 7797966
2576 29698029 8200293 23265716 8200293
2640 31203690 8612580 24447566 8612580
2704 32695899 9035383 25608012 9035383
2768 34233932 9468291 26806261 9468291
2832 35918822 9910580 28143530 9910580
2896 37518547 10363717 29387606 10363717
2960 39197048 10826654 30705366 10826654
3024 40939498 11299908 32076063 11299908
